workerid,trial_number,filler,prime_type,prime_strength,trial_type,prime_target,within_between,category,p1-correct,p1-response,p2-correct,p2-response,t-correct,t-response,strong_response_bool
36,37,"""false""",some,strong,six,six some,between,"""some_strong_six""",1,"""right""",0,"""left""",1,"""right""",1
36,38,"""false""",four,weak,some,four some,between,"""four_weak_some""",1,"""right""",1,"""right""",0,"""right""",1
36,39,"""false""",some,strong,six,six some,between,"""some_strong_six""",1,"""right""",1,"""right""",1,"""right""",1
36,40,"""false""",six,weak,four,four six,between,"""six_weak_four""",0,"""left""",1,"""right""",0,"""right""",1
36,41,"""false""",six,strong,some,six some,between,"""six_strong_some""",1,"""right""",0,"""left""",1,"""right""",1
36,42,"""true""",some,weak,some,some some,within,"""some_weak_some""",1,"""right""",0,"""left""",0,"""right""",1
36,43,"""false""",some,weak,six,six some,between,"""some_weak_six""",0,"""left""",0,"""left""",0,"""right""",1
36,44,"""false""",four,weak,some,four some,between,"""four_weak_some""",0,"""left""",0,"""left""",0,"""right""",1
36,45,"""false""",six,weak,some,six some,between,"""six_weak_some""",1,"""right""",1,"""right""",0,"""right""",1
36,46,"""false""",some,weak,four,four some,between,"""some_weak_four""",0,"""left""",0,"""left""",0,"""right""",1
36,47,"""true""",some,strong,some,some some,within,"""some_strong_some""",0,"""left""",1,"""right""",1,"""right""",1
36,48,"""false""",four,weak,six,four six,between,"""four_weak_six""",0,"""left""",1,"""right""",0,"""right""",1
36,49,"""false""",six,strong,six,six six,within,"""six_strong_six""",1,"""right""",0,"""left""",1,"""right""",1
36,50,"""false""",six,weak,four,four six,between,"""six_weak_four""",1,"""right""",0,"""left""",0,"""right""",1
36,51,"""true""",four,weak,four,four four,within,"""four_weak_four""",1,"""right""",1,"""right""",0,"""left""",0
36,52,"""false""",six,strong,six,six six,within,"""six_strong_six""",1,"""right""",0,"""left""",1,"""right""",1
36,53,"""true""",four,strong,four,four four,within,"""four_strong_four""",0,"""left""",0,"""left""",1,"""right""",1
36,54,"""true""",some,strong,some,some some,within,"""some_strong_some""",1,"""right""",1,"""right""",1,"""right""",1
36,55,"""false""",some,weak,six,six some,between,"""some_weak_six""",0,"""left""",1,"""right""",0,"""right""",1
36,56,"""false""",some,strong,some,some some,within,"""some_strong_some""",1,"""right""",1,"""right""",1,"""right""",1
36,57,"""false""",four,strong,some,four some,between,"""four_strong_some""",1,"""right""",0,"""left""",1,"""right""",1
36,58,"""true""",some,weak,some,some some,within,"""some_weak_some""",1,"""right""",1,"""right""",0,"""right""",1
36,59,"""true""",six,weak,six,six six,within,"""six_weak_six""",1,"""right""",0,"""left""",0,"""right""",1
36,60,"""false""",four,strong,four,four four,within,"""four_strong_four""",1,"""right""",1,"""right""",1,"""right""",1
36,61,"""false""",four,strong,some,four some,between,"""four_strong_some""",0,"""left""",0,"""left""",1,"""right""",1
36,62,"""false""",some,weak,four,four some,between,"""some_weak_four""",0,"""left""",0,"""left""",0,"""right""",1
36,63,"""false""",four,weak,four,four four,within,"""four_weak_four""",1,"""right""",1,"""right""",0,"""right""",1
36,64,"""true""",six,strong,six,six six,within,"""six_strong_six""",0,"""left""",1,"""right""",1,"""right""",1
36,65,"""false""",four,weak,four,four four,within,"""four_weak_four""",1,"""right""",1,"""right""",0,"""right""",1
36,66,"""false""",six,weak,four,four six,between,"""six_weak_four""",1,"""right""",0,"""left""",0,"""right""",1
36,67,"""false""",four,weak,some,four some,between,"""four_weak_some""",1,"""right""",1,"""right""",0,"""right""",1
